time,value,correction,quality
1994-10-26T11:00:00Z,376.95,0,3
1994-10-27T11:00:00Z,376.89,0,3
1994-10-28T11:00:00Z,376.85,0,3
1994-10-29T11:00:00Z,376.62,0,3
1994-10-30T11:00:00Z,376.38,0,3
1994-10-31T11:00:00Z,376.13,0,3
1994-11-01T11:00:00Z,375.99,0,3
1994-11-02T11:00:00Z,375.74,0,3
1994-11-03T11:00:00Z,375.46,0,3
1994-11-04T11:00:00Z,375.42,0,3
1994-11-05T11:00:00Z,375.42,0,3
1994-11-06T11:00:00Z,375.43,0,3
1994-11-07T11:00:00Z,375.46,0,3
1994-11-08T11:00:00Z,375.51,0,3
1994-11-09T11:00:00Z,375.54,0,3
1994-11-10T11:00:00Z,375.54,0,3
1994-11-11T11:00:00Z,375.55,0,3
1994-11-12T11:00:00Z,375.52,0,3
1994-11-13T11:00:00Z,375.52,0,3
1994-11-14T11:00:00Z,375.51,0,3
1994-11-15T11:00:00Z,375.56,0,3
1994-11-16T11:00:00Z,375.78,0,3
1994-11-17T11:00:00Z,375.87,0,3
1994-11-18T11:00:00Z,375.92,0,3
1994-11-19T11:00:00Z,375.94,0,3
1994-11-20T11:00:00Z,375.95,0,3
1994-11-21T11:00:00Z,376.02,0,3
1994-11-22T11:00:00Z,376.02,0,3
1994-11-23T11:00:00Z,376.09,0,3
1994-11-24T11:00:00Z,376.61,0,3
1994-11-25T11:00:00Z,377.07,0,3
1994-11-26T11:00:00Z,377.06,0,3
1994-11-27T11:00:00Z,376.88,0,3
1994-11-28T11:00:00Z,376.8,0,3
1994-11-29T11:00:00Z,376.81,0,3
1994-11-30T11:00:00Z,376.85,0,3
1994-12-01T11:00:00Z,376.86,0,3
1994-12-02T11:00:00Z,376.85,0,3
1994-12-03T11:00:00Z,376.81,0,3
1994-12-04T11:00:00Z,376.78,0,3
1994-12-05T11:00:00Z,376.75,0,3
1994-12-06T11:00:00Z,376.6,0,3
1994-12-07T11:00:00Z,376.47,0,3
1994-12-08T11:00:00Z,376.35,0,3
1994-12-09T11:00:00Z,376.26,0,3
1994-12-10T11:00:00Z,376.19,0,3
1994-12-11T11:00:00Z,376.26,0,3
1994-12-12T11:00:00Z,376.28,0,3
1994-12-13T11:00:00Z,376.21,0,3
1994-12-14T11:00:00Z,376.11,0,3
1994-12-15T11:00:00Z,376.07,0,3
1994-12-16T11:00:00Z,376.01,0,3
1994-12-17T11:00:00Z,375.93,0,3
1994-12-18T11:00:00Z,375.83,0,3
1994-12-19T11:00:00Z,375.84,0,3
1994-12-20T11:00:00Z,375.75,0,3
1994-12-21T11:00:00Z,375.7,0,3
1994-12-22T11:00:00Z,375.62,0,3
1994-12-23T11:00:00Z,375.59,0,3
1994-12-24T11:00:00Z,375.54,0,3
1994-12-25T11:00:00Z,375.61,0,3
1994-12-26T11:00:00Z,375.57,0,3
1994-12-27T11:00:00Z,375.55,0,3
1994-12-28T11:00:00Z,375.5,0,3
1994-12-29T11:00:00Z,375.43,0,3
1994-12-30T11:00:00Z,375.39,0,3
1994-12-31T11:00:00Z,375.32,0,3
1995-01-01T11:00:00Z,375.21,0,3
1995-01-02T11:00:00Z,375.1,0,3
1995-01-03T11:00:00Z,374.97,0,3
1995-01-04T11:00:00Z,374.78,0,3
1995-01-05T11:00:00Z,374.61,0,3
1995-01-06T11:00:00Z,374.45,0,3
1995-01-07T11:00:00Z,374.29,0,3
1995-01-08T11:00:00Z,374.16,0,3
1995-01-09T11:00:00Z,374.05,0,3
1995-01-10T11:00:00Z,374.0,0,3
1995-01-11T11:00:00Z,373.93,0,3
1995-01-12T11:00:00Z,373.86,0,3
1995-01-13T11:00:00Z,373.8,0,3
1995-01-14T11:00:00Z,373.72,0,3
1995-01-15T11:00:00Z,373.67,0,3
1995-01-16T11:00:00Z,373.63,0,3
1995-01-17T11:00:00Z,373.62,0,3
1995-01-18T11:00:00Z,373.63,0,3
1995-01-19T11:00:00Z,373.61,0,3
1995-01-20T11:00:00Z,373.54,0,3
1995-01-21T11:00:00Z,373.52,0,3
1995-01-22T11:00:00Z,373.47,0,3
1995-01-23T11:00:00Z,373.34,0,3
1995-01-24T11:00:00Z,373.27,0,3
1995-01-25T11:00:00Z,373.19,0,3
1995-01-26T11:00:00Z,373.12,0,3
1995-01-27T11:00:00Z,373.04,0,3
1995-01-28T11:00:00Z,372.96,0,3
1995-01-29T11:00:00Z,372.88,0,3
1995-01-30T11:00:00Z,372.81,0,3
1995-01-31T11:00:00Z,372.73,0,3
1995-02-01T11:00:00Z,372.64,0,3
1995-02-02T11:00:00Z,372.6,0,3
1995-02-03T11:00:00Z,372.53,0,3
1995-02-04T11:00:00Z,372.45,0,3
1995-02-05T11:00:00Z,372.34,0,3
1995-02-06T11:00:00Z,372.21,0,3
1995-02-07T11:00:00Z,372.14,0,3
1995-02-08T11:00:00Z,372.05,0,3
1995-02-09T11:00:00Z,371.95,0,3
1995-02-10T11:00:00Z,371.82,0,3
1995-02-11T11:00:00Z,371.72,0,3
1995-02-12T11:00:00Z,371.61,0,3
1995-02-13T11:00:00Z,371.54,0,3
1995-02-14T11:00:00Z,371.47,0,3
1995-02-15T11:00:00Z,371.37,0,3
1995-02-16T11:00:00Z,371.27,0,3
1995-02-17T11:00:00Z,371.2,0,3
1995-02-18T11:00:00Z,371.12,0,3
1995-02-19T11:00:00Z,370.98,0,3
1995-02-20T11:00:00Z,370.89,0,3
