index,Latitude,Longitude,Time,Rain,Sea_Level_Pressure,Temperature,Time_Index
615090,23.80920029,78.75,1999-01-04,0.0,101202.0,293.2,3
563224,23.80920029,75.0,1999-01-04,0.0,101202.0,295.8,3
174049,27.5,75.0,1999-01-04,0.0,101030.0,294.9,3
589157,23.80920029,77.5,1999-01-04,0.0,101030.0,294.2,3
225855,25.0,70.0,1999-01-04,0.0,101182.0,299.9,3
537291,23.80920029,72.5,1999-01-04,0.0,101182.0,297.4,3
407626,27.5,78.75,1999-01-04,0.0,101182.0,295.49,3
459492,25.0,78.75,1999-01-04,0.0,101182.0,294.59998,3
381693,27.5,69.375,1999-01-04,0.0,101182.0,297.2,3
511358,23.80920029,70.0,1999-01-04,0.0,101182.0,298.8,3
433559,25.0,69.375,1999-01-04,0.0,101182.0,300.09998,3
44534,30.0,72.5,1999-01-04,0.0,101207.0,297.62,3
148146,27.5,72.5,1999-01-04,0.0,101207.0,296.34998,3
70437,30.0,75.0,1999-01-04,0.0,101317.0,296.59998,3
355760,30.0,78.75,1999-01-04,0.0,101317.0,286.2,3
537292,23.80920029,72.5,1999-01-05,0.0,101317.0,297.4,4
459493,25.0,78.75,1999-01-05,0.0,101317.0,294.59998,4
44535,30.0,72.5,1999-01-05,0.0,101020.0,297.59998,4
122244,27.5,70.0,1999-01-05,0.0,101345.0,297.87,4
277662,25.0,75.0,1999-01-05,0.0,101140.0,294.99,4
96341,30.0,77.5,1999-01-05,0.0,101337.0,292.9,4
225856,25.0,70.0,1999-01-05,0.0,101132.0,299.82,4
381694,27.5,69.375,1999-01-05,0.0,101132.0,297.2,4
329828,30.0,69.375,1999-01-05,0.0,101132.0,294.62,4
199953,27.5,77.5,1999-01-05,0.0,101045.0,294.95,4
174050,27.5,75.0,1999-01-05,0.0,100810.0,294.82,4
303565,25.0,77.5,1999-01-05,0.0,101010.0,293.9,4
251759,25.0,72.5,1999-01-05,0.0,101175.0,297.9,4
18632,30.0,70.0,1999-01-05,0.0,101225.0,296.47,4
407627,27.5,78.75,1999-01-05,0.0,101225.0,295.49,4
485426,23.80920029,69.375,1999-01-05,0.0,101225.0,299.8,4
148147,27.5,72.5,1999-01-05,0.0,101075.0,296.3,4
70438,30.0,75.0,1999-01-05,2.1711368560791016,101120.0,296.59998,4
355761,30.0,78.75,1999-01-05,0.0,101120.0,286.2,4
563225,23.80920029,75.0,1999-01-05,0.0,101120.0,295.74,4
433560,25.0,69.375,1999-01-05,0.0,101120.0,300.02002,4
589158,23.80920029,77.5,1999-01-05,0.0,101120.0,294.2,4
511359,23.80920029,70.0,1999-01-05,0.0,101120.0,298.8,4
615091,23.80920029,78.75,1999-01-05,0.0,101120.0,293.2,4
148148,27.5,72.5,1999-01-06,14.467039108276367,101045.0,296.27002,5
122245,27.5,70.0,1999-01-06,0.0,101280.0,297.8,5
329829,30.0,69.375,1999-01-06,0.0,101280.0,294.57,5
381695,27.5,69.375,1999-01-06,0.0,101280.0,297.09998,5
96342,30.0,77.5,1999-01-06,0.0,101237.0,292.9,5
537293,23.80920029,72.5,1999-01-06,0.0,101237.0,297.34998,5
407628,27.5,78.75,1999-01-06,0.0,101237.0,295.49,5
174051,27.5,75.0,1999-01-06,0.1409905701875686,100812.0,294.8,5
589159,23.80920029,77.5,1999-01-06,0.0,100812.0,294.16998,5
251760,25.0,72.5,1999-01-06,0.0,101252.0,297.84998,5
563226,23.80920029,75.0,1999-01-06,0.0,101252.0,295.7,5
459494,25.0,78.75,1999-01-06,6.20770263671875,101252.0,294.59998,5
433561,25.0,69.375,1999-01-06,0.0,101252.0,299.99,5
225857,25.0,70.0,1999-01-06,0.0,101222.0,299.8,5
615092,23.80920029,78.75,1999-01-06,0.0,101222.0,293.2,5
18633,30.0,70.0,1999-01-06,0.0,101080.0,296.4,5
70439,30.0,75.0,1999-01-06,11.37106704711914,101115.0,296.59998,5
277663,25.0,75.0,1999-01-06,0.0,101127.0,294.99,5
511360,23.80920029,70.0,1999-01-06,0.0,101127.0,298.74,5
199954,27.5,77.5,1999-01-06,0.0,101000.0,294.9,5
355762,30.0,78.75,1999-01-06,0.0,101000.0,286.2,5
303566,25.0,77.5,1999-01-06,0.0,100907.0,293.9,5
44536,30.0,72.5,1999-01-06,0.0,100962.0,297.57,5
485427,23.80920029,69.375,1999-01-06,0.0,100962.0,299.72,5
563227,23.80920029,75.0,1999-01-07,0.0,100962.0,295.7,6
251761,25.0,72.5,1999-01-07,0.0,101575.0,297.8,6
199955,27.5,77.5,1999-01-07,10.929341316223145,101287.0,294.9,6
485428,23.80920029,69.375,1999-01-07,0.0,101287.0,299.7,6
96343,30.0,77.5,1999-01-07,40.28757858276367,101345.0,292.8,6
407629,27.5,78.75,1999-01-07,7.120674133300781,101345.0,295.49,6
70440,30.0,75.0,1999-01-07,0.2111590504646301,101425.0,296.49,6
589160,23.80920029,77.5,1999-01-07,0.0,101425.0,294.09998,6
277664,25.0,75.0,1999-01-07,0.0,101505.0,294.91998,6
148149,27.5,72.5,1999-01-07,0.0,101392.0,296.2,6
381696,27.5,69.375,1999-01-07,0.0,101392.0,297.05,6
225858,25.0,70.0,1999-01-07,0.0,101450.0,299.7,6
433562,25.0,69.375,1999-01-07,0.0,101450.0,299.91998,6
537294,23.80920029,72.5,1999-01-07,0.0,101450.0,297.3,6
459495,25.0,78.75,1999-01-07,4.322188854217529,101450.0,294.59998,6
511361,23.80920029,70.0,1999-01-07,0.0,101450.0,298.7,6
355763,30.0,78.75,1999-01-07,3.546699047088623,101450.0,286.02002,6
122246,27.5,70.0,1999-01-07,0.0,101535.0,297.72,6
303567,25.0,77.5,1999-01-07,0.1614376306533813,101232.0,293.9,6
174052,27.5,75.0,1999-01-07,0.0,101177.0,294.8,6
615093,23.80920029,78.75,1999-01-07,0.0,101177.0,293.2,6
329830,30.0,69.375,1999-01-07,0.0,101177.0,294.49,6
44537,30.0,72.5,1999-01-07,0.0,101340.0,297.49,6
18634,30.0,70.0,1999-01-07,0.0,101370.0,296.34998,6
277665,25.0,75.0,1999-01-08,0.0,101775.0,294.9,7
381697,27.5,69.375,1999-01-08,0.0,101775.0,296.99,7
44538,30.0,72.5,1999-01-08,0.0,101767.0,297.45,7
537295,23.80920029,72.5,1999-01-08,0.0,101767.0,297.27002,7
225859,25.0,70.0,1999-01-08,0.0,101722.0,299.64,7
511362,23.80920029,70.0,1999-01-08,0.0,101722.0,298.64,7
589161,23.80920029,77.5,1999-01-08,0.0,101722.0,294.09998,7
459496,25.0,78.75,1999-01-08,0.0,101722.0,294.57,7
174053,27.5,75.0,1999-01-08,0.0,101577.0,294.7,7
485429,23.80920029,69.375,1999-01-08,0.0,101577.0,299.59998,7
355764,30.0,78.75,1999-01-08,3.619075775146485,101577.0,285.74,7
407630,27.5,78.75,1999-01-08,1.085399508476257,101577.0,295.41998,7
199956,27.5,77.5,1999-01-08,0.0,101687.0,294.9,7
148150,27.5,72.5,1999-01-08,0.0,101675.0,296.14,7
251762,25.0,72.5,1999-01-08,0.0,101830.0,297.72,7
70441,30.0,75.0,1999-01-08,0.0,101905.0,296.49,7
303568,25.0,77.5,1999-01-08,0.0,101560.0,293.9,7
18635,30.0,70.0,1999-01-08,0.0,101777.0,296.3,7
563228,23.80920029,75.0,1999-01-08,0.0,101777.0,295.64,7
122247,27.5,70.0,1999-01-08,0.0,101797.0,297.66998,7
433563,25.0,69.375,1999-01-08,0.0,101797.0,299.87,7
329831,30.0,69.375,1999-01-08,0.0,101797.0,294.4,7
96344,30.0,77.5,1999-01-08,29.22411346435547,101800.0,292.8,7
615094,23.80920029,78.75,1999-01-08,0.0,101800.0,293.09998,7
277666,25.0,75.0,1999-01-09,0.0,101697.0,294.82,8
251763,25.0,72.5,1999-01-09,0.0,101707.0,297.66998,8
122248,27.5,70.0,1999-01-09,0.0,101785.0,297.59998,8
96345,30.0,77.5,1999-01-09,0.0,101690.0,292.74,8
199957,27.5,77.5,1999-01-09,0.0,101655.0,294.8,8
225860,25.0,70.0,1999-01-09,0.0,101617.0,299.59998,8
433564,25.0,69.375,1999-01-09,0.0,101617.0,299.8,8
329832,30.0,69.375,1999-01-09,0.0,101617.0,294.32,8
381698,27.5,69.375,1999-01-09,0.0,101617.0,296.9,8
303569,25.0,77.5,1999-01-09,0.0,101522.0,293.8,8
485430,23.80920029,69.375,1999-01-09,0.0,101522.0,299.59998,8
355765,30.0,78.75,1999-01-09,0.0,101522.0,285.55,8
537296,23.80920029,72.5,1999-01-09,0.0,101522.0,297.2,8
174054,27.5,75.0,1999-01-09,0.0,101562.0,294.7,8
18636,30.0,70.0,1999-01-09,0.0,101835.0,296.2,8
407631,27.5,78.75,1999-01-09,0.0,101835.0,295.4,8
44539,30.0,72.5,1999-01-09,0.0,101750.0,297.4,8
70442,30.0,75.0,1999-01-09,0.0,101830.0,296.4,8
589162,23.80920029,77.5,1999-01-09,0.0,101830.0,294.07,8
148151,27.5,72.5,1999-01-09,0.0,101695.0,296.09998,8
615095,23.80920029,78.75,1999-01-09,0.0,101695.0,293.09998,8
459497,25.0,78.75,1999-01-09,0.0,101695.0,294.49,8
563229,23.80920029,75.0,1999-01-09,0.0,101695.0,295.59998,8
511363,23.80920029,70.0,1999-01-09,0.0,101695.0,298.59998,8
459498,25.0,78.75,1999-01-10,0.0,101695.0,294.49,9
96346,30.0,77.5,1999-01-10,0.6187126636505127,101922.0,292.7,9
563230,23.80920029,75.0,1999-01-10,0.0,101922.0,295.57,9
615096,23.80920029,78.75,1999-01-10,0.0,101922.0,293.05,9
251764,25.0,72.5,1999-01-10,0.0,101822.0,297.59998,9
122249,27.5,70.0,1999-01-10,0.0,101897.0,297.49,9
303570,25.0,77.5,1999-01-10,0.4716448187828064,101775.0,293.8,9
589163,23.80920029,77.5,1999-01-10,0.0,101775.0,293.99,9
329833,30.0,69.375,1999-01-10,0.0,101775.0,294.24,9
44540,30.0,72.5,1999-01-10,0.0,101817.0,297.3,9
174055,27.5,75.0,1999-01-10,0.0,101742.0,294.59998,9
