,Date,FrontChange,SMB,RU,ME,AT,SST,PT,glacierID,glacierName,latitude,longitude
28,31/05/2017,702.9273801,0.7331376908791668,1.7246271083333332e-21,0.10925797916666667,-7.140325617,1.6633246,1.6755993,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
29,30/06/2017,788.0516134213154,-6.751118613,6.879671625,10.98528488,0.6812092750000001,3.1672604,2.7808867,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
30,31/07/2017,806.3080706159504,-24.49753871,25.801356571428574,23.707831785714284,2.39935658,5.996205,4.285701,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
31,31/08/2017,853.5414920509983,-12.48456444,13.579495555555557,12.9143882,2.322162101111111,6.0898514,5.0473776,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
32,30/09/2017,899.7782078479266,-14.10732961,18.243553220000003,13.218836970000002,2.3665670039999998,5.487775,5.3088703,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
33,31/10/2017,957.5605024550019,-2.495683616,4.6717140765066665,3.5160051451866665,-2.862777343,4.7657275,4.7682257,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
34,30/11/2017,1037.733341681524,0.6225154704705882,1.7246647294117645e-21,0,-6.14046431,2.833472,2.8345592,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
35,31/12/2017,1057.338127291635,0.6075562885999999,1.7245696933333332e-21,0,-8.547076147,1.6283652,1.6250265,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
36,31/01/2018,1092.9175822044754,0.9233925371541176,1.5319090407058825e-21,4.056190529411765e-05,-9.309525029,0.9412088,0.9368939,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
37,28/02/2018,1103.1305052624416,0.7801446313571428,1.7246097428571428e-21,0.06103838,-8.384816657,1.5577132,1.5511725,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
38,31/03/2018,1074.306807410228,0.060167996100000024,1.7246138999999998e-21,0,-16.128991,1.2437196,1.244288,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
39,30/04/2018,1010.6953632045767,0.47536307277777784,1.7245867222222223e-21,0.023855374999999998,-11.22145407,0.53952736,0.56675094,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
40,31/05/2018,1042.5495054698813,-1.95575865,3.683242275,3.644913929,-1.249411516,1.4296566,1.3972592,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
41,30/06/2018,1044.3750140280545,-14.76971582,15.227402000000001,16.05247813,1.111453675,3.0858088,2.7118216,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
42,31/07/2018,1077.3784767480333,-26.7507825,27.050818999999997,32.048342,3.3639302,4.7186756,3.8068652,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
43,31/08/2018,1087.0574716141941,-22.84453065,29.0189765,30.679812300000002,2.8601408499999996,5.5628767,4.629481,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
44,30/09/2018,1121.4336947147476,-0.33124694,0.47192086126759825,0.508608491,-3.575126336,4.696131,4.469144,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
45,31/10/2018,1137.6624236155876,0.8527805486136363,2.5878946006576182,2.148339607,-3.773624406,3.1386442,3.138139,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
46,30/11/2018,1168.685073734482,1.1131359552352942,0.3594281247058823,0.5443614294117647,-5.861631422,2.9275753,2.917185,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
48,31/01/2019,1217.5999147075413,1.252408733,1.72468026e-21,0,-13.56944658,1.3704505,1.4034127,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
49,28/02/2019,1190.9979873596362,0.255708906,1.7246356e-21,0,-16.07546541,1.3089973,1.3221334,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
50,31/03/2019,1172.8405862748054,0.5000053694722222,1.7245291e-21,0,-16.19733696,0.8691404,0.88367397,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
51,30/04/2019,1151.0873636723363,1.1860199375555556,1.724649e-21,0.062047898,-8.734103411,1.0059388,0.94534814,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
52,31/05/2019,1151.4351860219067,0.23650865639000002,1.724599475e-21,0.333243092,-6.183587522,1.5778774,1.5671651,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
53,30/06/2019,1122.395318,-11.2443647,11.095247142857144,13.999233142857145,0.7162793542857143,2.9107375,2.5292897,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
54,31/07/2019,1121.1687614841248,-25.593464,25.745761,26.286682499999998,4.99330635,4.846015,3.6904564,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
55,31/08/2019,1170.9310711633098,-18.81672358,20.805327646153845,17.40105756153846,2.470504818461538,5.4935517,4.4692183,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
56,30/09/2019,1196.149218946573,-4.022816598,6.273884814943077,7.594054981538462,-0.956180911,4.2564425,4.1821394,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
57,31/10/2019,1231.9899693154844,0.6610007118888889,0.095452437,0.22297516666666667,-8.696250993,2.4223697,2.4257128,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
58,30/11/2019,1243.3211670214919,0.7236548856666667,1.7246388666666666e-21,0,-9.454443473,0.6423155,0.6619298,RGI60-07.00242,Austre Torellbreen,77.16286031994127,15.072524766929497
